,Date,Outward,Return
333,2020-12-13 00:00:00,,246903
334,2020-12-14 00:00:00,396339,108301
335,2020-12-15 00:00:00,60963,71385
336,2020-12-16 00:00:00,42335,108301
337,2020-12-17 00:00:00,372141,107135
338,2020-12-18 00:00:00,39997,108301
339,2020-12-19 00:00:00,54069,108331
340,2020-12-20 00:00:00,61251,55638
341,2020-12-21 00:00:00,267851,108301
342,2020-12-22 00:00:00,43094,31734
343,2020-12-23 00:00:00,53246,189011
344,2020-12-24 00:00:00,61069,44600
345,2020-12-25 00:00:00,286505,44630
346,2020-12-26 00:00:00,106915,44630
347,2020-12-27 00:00:00,52997,44600
348,2020-12-28 00:00:00,52997,
349,2020-12-29 00:00:00,,
350,2020-12-30 00:00:00,,
351,2020-12-31 00:00:00,,70549
352,2021-01-01 00:00:00,,
353,2021-01-02 00:00:00,,
354,2021-01-03 00:00:00,59270,
355,2021-01-04 00:00:00,,
356,2021-01-05 00:00:00,,
357,2021-01-06 00:00:00,,
358,2021-01-07 00:00:00,,
359,2021-01-08 00:00:00,,
360,2021-01-09 00:00:00,,
361,2021-01-10 00:00:00,,
362,2021-01-11 00:00:00,,
363,2021-01-12 00:00:00,,
364,2021-01-13 00:00:00,,
